NOMBRE DEL BARRIO,POBLACION DE MAS DE 65 AÑOS QUE VIVE SOLA %,TITULADOS SUPERIORES Y CFGS %,NUMERO DE PARADOS,RENTA FAMILIAR (2017),INDICE DE SOBREENVEJICIMIENTO
el Raval,31.9,27.2,3.074,71.2,50.7
el Barri Gòtic,30.2,32.7,892,106.1,50.2
la Barceloneta,32.8,30.6,978,79.6,58.1
"Sant Pere, Santa Caterina i la Ribera",33.6,42.1,1.346,99.4,53.2
el Fort Pienc,25.3,40.4,1.156,106.5,52.3
la Sagrada Família,27.5,39.5,1.917,101.8,53.5
la Dreta de l'Eixample,27.1,52.8,1.255,175.9,54.0
l'Antiga Esquerra de l'Eixample,29.0,49.7,1.345,137.2,54.4
la Nova Esquerra de l'Eixample,26.8,44.9,2.117,110.2,51.6
Sant Antoni,28.5,38.9,1.535,104.2,56.4
el Poble-sec,28.6,29.6,2.045,82.2,53.7
la Marina del Prat Vermell,31.5,7.8,93,40.0,53.2
la Marina de Port,25.4,16.8,1.548,69.3,53.8
la Font de la Guatlla,24.9,31.9,516,82.9,51.9
Hostafrancs,24.7,33.6,684,99.0,48.9
la Bordeta,23.0,26.6,803,79.0,51.3
Sants - Badal,23.7,28.2,845,81.0,49.3
Sants,26.9,33.5,1.629,99.0,53.4
les Corts,23.7,45.0,1.665,120.0,50.1
la Maternitat i Sant Ramon,22.8,40.4,835,114.2,51.0
Pedralbes,20.8,52.6,208,248.8,55.7
"Vallvidrera, el Tibidabo i les Planes",20.2,43.1,91,144.1,47.4
Sarrià,21.3,51.8,459,193.6,57.2
les Tres Torres,21.0,53.8,355,215.8,55.0
Sant Gervasi - la Bonanova,23.5,51.7,583,184.6,55.7
Sant Gervasi - Galvany,27.4,53.3,1.049,192.1,56.7
el Putxet i el Farró,28.1,51.6,943,144.6,51.4
Vallcarca i els Penitents,25.8,42.0,615,112.5,54.1
el Coll,26.3,32.3,259,87.0,51.7
la Salut,25.4,42.1,526,109.9,51.1
la Vila de Gràcia,30.8,47.5,1.939,104.4,55.1
el Camp d'en Grassot i Gràcia Nova,27.0,42.7,1.277,105.7,51.4
el Baix Guinardó,24.9,34.3,990,92.0,58.3
Can Baró,25.5,29.8,377,83.3,52.5
el Guinardó,26.3,32.0,1.475,79.1,53.5
la Font d'en Fargues,20.1,33.6,464,92.5,49.3
el Carmel,23.7,14.8,1.586,54.2,53.2
la Teixonera,23.3,18.4,489,73.7,53.9
Sant Genís dels Agudells,25.7,21.3,297,84.1,62.8
Montbau,27.2,27.9,215,79.8,73.4
la Vall d'Hebron,24.1,31.1,229,95.8,56.0
la Clota,32.6,29.3,16,93.5,65.1
Horta,23.0,24.5,1.315,79.8,57.0
Vilapicina i la Torre Llobeta,26.0,23.9,1.220,63.8,54.8
Porta,25.1,18.1,1.199,64.4,57.9
el Turó de la Peira,31.8,16.5,758,51.9,67.6
Can Peguera,28.3,10.1,106,51.5,60.6
la Guineueta,24.5,19.0,857,53.8,57.3
Canyelles,21.3,13.2,418,52.2,45.8
les Roquetes,23.4,9.8,906,49.7,50.4
Verdun,28.2,12.9,695,51.3,58.0
la Prosperitat,25.6,13.2,1.347,56.0,58.0
la Trinitat Nova,31.4,9.6,620,48.2,52.9
Torre Baró,21.3,8.9,172,46.5,44.9
Ciutat Meridiana,22.3,7.4,896,38.6,53.4
Vallbona,13.9,9.5,104,40.9,59.4
la Trinitat Vella,22.4,10.4,831,47.1,49.0
Baró de Viver,28.0,7.1,114,68.9,52.3
el Bon Pastor,22.7,14.3,647,65.1,52.7
Sant Andreu,23.1,26.8,2.620,77.7,47.4
la Sagrera,22.3,26.0,1.170,77.1,47.7
el Congrés i els Indians,28.8,27.7,570,75.1,60.3
Navas,26.2,28.0,877,81.6,53.3
el Camp de l'Arpa del Clot,26.1,32.8,1.710,81.7,50.6
el Clot,23.1,29.4,1.169,83.6,46.8
el Parc i la Llacuna del Poblenou,26.1,37.1,572,100.4,48.4
la Vila Olímpica del Poblenou,19.9,54.1,391,164.2,35.3
el Poblenou,25.8,36.2,1.339,99.9,53.0
Diagonal Mar i el Front Marítim del Poblenou,21.3,41.8,610,150.1,51.5
el Besòs i el Maresme,26.4,12.8,1.392,60.4,54.8
Provençals del Poblenou,22.8,26.9,927,102.3,49.9
Sant Martí de Provençals,24.9,21.0,1.290,67.4,57.6
la Verneda i la Pau,21.8,15.1,1.461,57.0,55.1
